firstName,lastName,age,birthYear,source,industries,title
Jeff,Rothschild,68,1955,Facebook,Technology,Advisor
Tiger,Woods,47,1975,Golf,Sports,Athlete
LeBron,James,38,1984,Basketball,Sports,Athlete
Elaine,Wynn,80,1942,"Casinos, hotels",Gambling & Casinos,Board Member
Elon,Musk,51,1971,"Tesla, SpaceX",Automotive,CEO
Warren,Buffett,92,1930,Berkshire Hathaway,Finance & Investments,CEO
Michael,Bloomberg,81,1942,Bloomberg LP,Media & Entertainment,CEO
Abigail,Johnson,61,1961,Fidelity,Finance & Investments,CEO
David,Green,81,1941,Retail,Fashion & Retail,CEO
Michael,Rubin,50,1972,Online retail,Fashion & Retail,CEO
James,Goodnight,80,1943,Software,Technology,CEO
Mark,Walter,62,1960,"Finance, asset management",Finance & Investments,CEO
Jimmy,Haslam,69,1954,"Gas stations, retail",Fashion & Retail,CEO
James,Irsay,63,1959,Indianapolis Colts,Sports,CEO
